Soil.layer,number,estimate,ci.lb,ci.ub,filename
topsoil,356,0.0551085112139453,-0.101712658814516,0.211929681242406,Abandoned.csv
topsoil,244,0.177777990293532,-0.127780034819584,0.483336015406649,Bareland.csv
topsoil,1511,0.192904791617823,0.121766977437904,0.264042605797742,cropland.csv
topsoil,586,0.0308481517171553,-0.0692453374219232,0.130941640856234,Grassland.csv
topsoil,671,-0.149149442026074,-0.254313314169419,-0.0439855698827301,Natural.csv
topsoil,166,0.123247244322718,-0.310080186333597,0.556574674979034,Sandy.csv
topsoil,356,0.345360728635217,0.154256117884615,0.53646533938582,total_combined_soil_data.csv
topsoil,244,0.556905979951564,0.363738030716328,0.7500739291868,total_combined_soil_data.csv
topsoil,1511,0.339279279758007,0.277489215453039,0.401069344062975,total_combined_soil_data.csv
topsoil,586,0.110497141837844,0.00188871624532926,0.219105567430359,total_combined_soil_data.csv
topsoil,671,-0.220037419534978,-0.311628583289363,-0.128446255780593,total_combined_soil_data.csv
topsoil,166,1.86928489540059,1.369150895633,2.36941889516817,total_combined_soil_data.csv
subsoil,226,-0.0594125668145006,-0.216547476835932,0.0977223432069312,Abandoned.csv
subsoil,61,-0.0196900593100461,-0.326046861392219,0.286666742772127,Bareland.csv
subsoil,1001,0.104549972724493,0.0332376212490179,0.175862324199968,cropland.csv
subsoil,211,0.00836071271187884,-0.0922715943085445,0.108993019732302,Grassland.csv
subsoil,229,-0.17568224120592,-0.281506789344589,-0.0698576930672509,Natural.csv
subsoil,36,-0.218515161080815,-0.653077542839161,0.216047220677531,Sandy.csv
subsoil,226,0.10457148380486,-0.0865673149203277,0.295710282530048,total_combined_soil_data.csv
subsoil,61,0.406322798299095,0.212893299444186,0.599752297154004,total_combined_soil_data.csv
subsoil,1001,0.232648613567266,0.170849204446956,0.294448022687577,total_combined_soil_data.csv
subsoil,211,0.0898250030948236,-0.0187984045638592,0.198448410753506,total_combined_soil_data.csv
subsoil,229,-0.249965781074376,-0.341587141861712,-0.15834442028704,total_combined_soil_data.csv
subsoil,36,-0.240639430305043,-0.740820547865519,0.259541687255433,total_combined_soil_data.csv
